Station_Num,Station_Name,Daily_ppt_in,Multy_dat_ppt_in,Total_ppt_in,Total_Snow_in,# of Reports,Latitude,Longitude
 NC-BC-148,Black Mountain 2.1 W,41.76,6.55,48.31,0.1,292,35.617114,-82.368058
 NC-BC-150,Leicester 4.5 SW,53.01,,53.01,1.5,356,35.61842,-82.763046
 NC-BC-151,Fairview 1.2 SSE,37.4,13.92,51.32,0,235,35.5057,-82.3981
 NC-BC-153,Black Mountain 1.0 SE,5.75,,5.75,0,48,35.60324,-82.318799
 NC-BK-2,Glen Alpine 2.8 S,57.22,0.26,57.48,0,349,35.6886819,-81.7860105
 NC-BK-4,Glen Alpine 0.7 WSW,56.49,,56.49,0,355,35.7266,-81.7902
 NC-BK-6,Valdese 0.8 SW,23,28.62,51.62,0,59,35.73945618,-81.56903076
 NC-BK-9,Morganton 2.1 SSW,20.36,1.96,22.32,0,146,35.71296,-81.71027
 NC-BK-13,Jonas Ridge 1.4 S,78.48,,78.48,2.1,346,35.95204,-81.891753
 NC-BK-15,Connelly Springs 2.1 E,56.01,1.16,57.17,0,170,35.748444,-81.46185
 NC-BK-22,Collettsville 5.0 SW,10.61,,10.61,0,64,35.883242,-81.749218
 NC-CB-8,Concord 4.5 SW,46.45,,46.45,0,279,35.36472,-80.65495
 NC-CB-15,Concord 1.0 SW,44.71,,44.71,0,345,35.395539,-80.605861
 NC-CB-21,Midland 1.9 WSW,19.81,1,20.81,0,170,35.214363,-80.529724
 NC-CB-23,Concord 1.8 ENE,50.03,,50.03,0,344,35.4135,-80.564
 NC-CB-26,Concord 3.4 NNE,45.9,4.5,50.4,0,337,35.4505,-80.564
 NC-CD-11,Blowing Rock 1.6 SSE,0.76,,0.76,0,3,36.10743333,-81.65846667
 NC-CD-14,Lenoir 10.6 NNE,56.1,0.87,56.97,0,346,36.054581,-81.484265
 NC-CD-19,Lenoir 1.3 NNE,8.3,4.88,13.18,0,42,35.922517,-81.523606
 NC-CD-21,Sawmills 2.6 SW,54.05,7.5,61.55,0,81,35.79584122,-81.51965332
 NC-CD-24,Granite Falls 5.1 NNE,13.2,,13.2,0,26,35.8637875,-81.37922133
 NC-CD-27,Lenoir 5.7 E,0.97,,0.97,0,5,35.89923,-81.43364
 NC-CA-4,South Mills 0.1 SW,39.02,10.01,49.03,0,343,36.44363,-76.328896
 NC-CR-1,Newport 0.2 SW,40.63,6.85,47.48,0,342,34.7857,-76.8633
 NC-CR-9,Beaufort 5.3 N,53.96,,53.96,0,356,34.7971,-76.6708
 NC-CR-12,Morehead City 0.6 NW,51.55,,51.55,0,352,34.73,-76.74
 NC-CR-16,Morehead City 6.0 WNW,46.28,1.83,48.11,0,346,34.730195,-76.831405
 NC-CR-20,Harkers Island 3.2 NE,60.11,,60.11,0,353,34.7315,-76.51765
 NC-CR-28,Ocean 0.5 S,33.77,,33.77,0,159,34.7056,-76.9898
 NC-CR-29,Morehead City 0.1 E,57.66,,57.66,0,297,34.7244699,-76.7295265
 NC-CR-33,Newport 2.5 W,46.63,,46.63,0,100,34.7828665,-76.9039524
 NC-CR-40,Morehead City 3.0 WNW,49.54,1.88,51.42,0,254,34.7360866,-76.7831385
