"","Name","Wells","pptVal","pct"
"55","Alabama",14066.8075647257,220,0.0024657701015509
"56","Florida",998800.859223433,220,0.175079760261476
"57","Georgia",68363.0397166495,220,0.0119833543331577
"58","Louisiana",63109.7316416171,220,0.0110625021834394
"59","Mississippi",45701.1917994679,220,0.00801095997267725
"60","North Carolina",615054.370465853,220,0.107812854519026
"61","South Carolina",219503.219669365,220,0.0384767100683255
"62","Texas",422463.566118473,220,0.0740536205913339
"63","Virginia",41371.4390497084,220,0.00725199779676489
"64","Alabama",5309.50970602398,240,0.00093070373123168
"65","Florida",798170.119792433,240,0.13991120645389
"66","Georgia",58612.4503480959,240,0.0102741739361947
"67","Louisiana",52587.6403328372,240,0.00921808524408791
"68","Mississippi",39991.4790128407,240,0.00701010466041629
"69","North Carolina",520306.496439315,240,0.091204503698475
"70","South Carolina",198166.879509054,240,0.034736663906342
"71","Texas",405495.192977777,240,0.0710792351830052
"72","Virginia",36024.4805387599,240,0.00631472966610591
"73","Alabama",1074.17349701385,260,0.000188291826743758
"74","Florida",576081.666318656,260,0.10098133086161
"75","Georgia",45248.2427833004,260,0.00793156255883948
"76","Louisiana",45417.454360047,260,0.00796122364895237
"77","Mississippi",36238.3572969994,260,0.00635222011398876
"78","North Carolina",424048.726069834,260,0.074331483211993
"79","South Carolina",175795.162344519,260,0.0308151265531906
"80","Texas",393613.685315208,260,0.0689965262086409
"81","Virginia",28240.2225000255,260,0.0049502274045693
"82","Alabama",130.927049075643,280,2.2950196880816e-05
"83","Florida",425888.522160854,280,0.0746539809907756
"84","Georgia",21367.3122579747,280,0.0037454752596698
"85","Louisiana",39257.3011637918,280,0.0068814106563876
"86","Mississippi",25755.1563067982,280,0.00451462025693186
"87","North Carolina",346724.966806668,280,0.0607774047294846
"88","South Carolina",134059.589012777,280,0.0234992996735684
"89","Texas",387099.91481573,280,0.0678547276539885
"90","Virginia",19263.0443966547,280,0.00337661823548553
"91","Florida",280567.340704285,300,0.0491806372552563
"92","Georgia",11419.7929050115,300,0.00200177501409002
"93","Louisiana",35035.824213429,300,0.0061414281407603
"94","Mississippi",19520.7054121043,300,0.00342178362395818
"95","North Carolina",312467.835604083,300,0.0547724736535766
"96","South Carolina",88037.7017887365,300,0.0154321250135161
"97","Texas",376723.478053187,300,0.0660358424938707
"98","Virginia",9369.1926020093,300,0.00164232537392765
"99","Florida",180363.059144562,320,0.0316158329895792
"100","Georgia",5913.95017061722,320,0.00103665607464035
"101","Louisiana",33087.0807313785,320,0.00579983297842355
"102","Mississippi",13358.680387609,320,0.00234164251870058
"103","North Carolina",288944.809881663,320,0.050649123472132
"104","South Carolina",58710.008476344,320,0.0102912748963586
"105","Texas",367773.385252614,320,0.0644669811063659
"106","Virginia",2557.44296957311,320,0.000448294069694119
"107","Florida",118127.37968708,340,0.0207065433764347
"108","Georgia",1710.2395465362,340,0.000299787817593648
"109","Louisiana",30597.563922302,340,0.00536344568252263
"110","Mississippi",6296.76005923311,340,0.00110375880378368
"111","North Carolina",264620.631629754,340,0.0463853392977645
"112","South Carolina",46837.5513121144,340,0.0082101523834644
"113","Texas",361509.538298615,340,0.0633689916394031
"114","Florida",72677.9677048905,360,0.0127397178772521
"115","Georgia",663.085432902943,360,0.00011623221741698
"116","Louisiana",25581.9525438532,360,0.00448425937666953
"117","Mississippi",3819.04413826704,360,0.000669440085059251
"118","North Carolina",245024.196093115,360,0.0429502809434877
"119","South Carolina",37838.3147518081,360,0.00663267658839976
"120","Texas",353800.308087613,360,0.0620176410026082
"121","Florida",56566.8666712768,380,0.00991560366022326
"122","Louisiana",22829.8817965694,380,0.00400184901207324
"123","Mississippi",3043.75789381743,380,0.000533540192143867
"124","North Carolina",221454.152191421,380,0.038818688947392
"125","South Carolina",24965.8577517869,380,0.00437626414669229
"126","Texas",350134.95489183,380,0.0613751413963402
"127","Florida",40790.9730623654,400,0.00715024793845682
"128","Louisiana",17426.9369860214,400,0.00305476704533144
"129","Mississippi",2559.34784334376,400,0.000448627974936606
"130","North Carolina",201968.78754421,400,0.0354031002046134
"131","South Carolina",19598.5226158741,400,0.00343542419830735
"132","Texas",344671.819427581,400,0.0604175086124633
"133","Florida",19604.0071638098,420,0.00343638558448243
"134","Louisiana",14380.3709019077,420,0.00252073460562962
"135","Mississippi",2264.12782796203,420,0.000396878870958453
"136","North Carolina",174668.552166769,420,0.030617643102904
"137","South Carolina",16294.6316135698,420,0.00285628528460714
"138","Texas",341176.571271424,420,0.0598048267113783
"139","Florida",3874.26730896842,440,0.000679120152309887
"140","Louisiana",10911.1665396864,440,0.00191261792007928
"141","Mississippi",2264.12782796203,440,0.000396878870958453
"142","North Carolina",163775.490731566,440,0.0287081988258219
"143","South Carolina",11245.8777832347,440,0.00197128943976824
"144","Texas",337425.750258606,440,0.0591473454550862
"145","Florida",3874.26730896842,460,0.000679120152309887
"146","Louisiana",7949.10050249016,460,0.0013933974900186
"147","Mississippi",842.65986050015,460,0.000147709811216063
"148","North Carolina",155806.530345172,460,0.027311320097596
"149","South Carolina",9525.5422899116,460,0.0016697319040904
"150","Texas",331848.456627487,460,0.0581697018909794
"151","Florida",2042.74565894827,480,0.00035807279993922
"152","Louisiana",7431.33102036927,480,0.00130263769945243
"153","Mississippi",424.531048565229,480,7.4416029501759e-05
"154","North Carolina",139883.997965493,480,0.0245202600719195
"155","South Carolina",6413.81795813169,480,0.00112427787791805
"156","Texas",322175.366932926,480,0.0564741064085844
"157","Florida",2042.74565894827,500,0.00035807279993922
"158","Louisiana",5804.9812574965,500,0.00101755491847999
"159","North Carolina",121096.362844579,500,0.02122697630822
"160","South Carolina",4109.28599894613,500,0.000720316568510665
"161","Texas",314495.003113202,500,0.0551278157602927
"162","Florida",437.15500593498,520,7.66288824538135e-05
